"","Gene.symbol","Log2FoldChange","ENTREZID"
"250","ANXA13",2.411489373,"312"
"251","LAMB1",2.41089297,"3912"
"252","SRSF1",2.409475586,"6426"
"253","CUL1",2.408590404,"8454"
"254","ITPR2",2.408150312,"3709"
"255","FBLN5",2.405214593,"10516"
"256","TFCP2",2.397745153,"7024"
"257","CDK11A",2.395587624,"728642"
"258","CDK11B",2.395587624,"984"
"259","RAB34",2.394513916,"83871"
"260","SCO1",2.391155978,"6341"
"261","OSTF1",2.388500838,"26578"
"262","CMAS",2.387067149,"55907"
"263","ATP6AP2",2.381016807,"10159"
"264","TAOK3",2.380048682,"51347"
"265","CCDC124",2.379714935,"115098"
"266","NOP56",2.379673201,"10528"
"267","ST20-MTHFS",2.377877191,"100528021"
"268","MTHFS",2.377877191,"10588"
"269","UTP23",2.376505547,"84294"
"270","TXNIP",2.37099898,"10628"
"271","CDK1",2.368892615,"983"
"272","CDKN3",2.365456641,"1033"
"273","N4BP2L1",2.363574736,"90634"
"274","FLII",2.362058261,"2314"
"275","GLUD1",2.361150259,"2746"
"276","REG1A",2.35970977,"5967"
"277","SMIM15",2.35933724,"643155"
"278","RSPRY1",2.357172204,"89970"
"279","TM4SF4",2.356450321,"7104"
"280","CPM",2.355375789,"1368"
"281","HHEX",2.35206282,"3087"
"282","UGCG",2.342581069,"7357"
"283","KLHL24",2.339621228,"54800"
"284","SLC35E1",2.339330361,"79939"
"285","NR5A2",2.336677589,"2494"
"286","RDX",2.327632766,"5962"
"287","CREBRF",2.326666039,"153222"
"288","SPATC1L",2.324566176,"84221"
"289","CBR1",2.320761001,"873"
"290","GUCY2C",2.317369667,"2984"
"291","THEM4",2.314488575,"117145"
"292","GIPC2",2.314028685,"54810"
"293","CDKN2AIP",2.309233385,"55602"
"294","CTSO",2.305481078,"1519"
"295","DNAAF2",2.305418253,"55172"
"296","CERT1",2.302423682,"10087"
"297","SCP2",2.301244819,"6342"
"298","S100A14",2.300514451,"57402"
"299","SLC35G1",2.299240951,"159371"
"300","TIMP4",2.291995733,"7079"
"301","TNRC6B",2.288544224,"23112"
"302","CD9",2.282850142,"928"
"303","ITPR1",2.282699184,"3708"
"304","CAPRIN1",2.278116749,"4076"
"305","NUP205",2.276039965,"23165"
"306","F2RL1",2.273713443,"2150"
"307","ILF3-DT",2.271092842,"147727"
"308","CCNL1",2.264148583,"57018"
"309","ARL2BP",2.263909795,"23568"
"310","DLD",2.263706965,"1738"
"311","EPCAM",2.262216195,"4072"
"312","POLD4",2.256602282,"57804"
"313","GATC",2.256045455,"283459"
"314","NOX1",2.254111469,"27035"
"315","PACRGL",2.25395909,"133015"
"316","DNAJC10",2.251713939,"54431"
"317","RIDA",2.251075366,"10247"
"318","ASF1A",2.250235288,"25842"
"319","MAP4K5",2.249702358,"11183"
"320","CAB39",2.248723925,"51719"
