"","Gene.symbol","Log2FoldChange","ENTREZID"
"1376","NPY",1.290821507,"4852"
"1377","ATP6V1F",1.290314673,"9296"
"1378","ME1",1.289238708,"4199"
"1379","PLCG1",1.288891991,"5335"
"1380","ZIC2",1.288563751,"7546"
"1381","BRMS1L",1.288328321,"84312"
"1382","LIPA",1.28825856,"3988"
"1383","PPP2R5A",1.288013884,"5525"
"1384","AKT1S1",1.28801074,"84335"
"1385","APOA1",1.287648798,"335"
"1386","RPF1",1.287373465,"80135"
"1387","U2AF2",1.287364517,"11338"
"1388","PRPF39",1.287062407,"55015"
"1389","TMEM183A",1.286039822,"92703"
"1390","RBMS2",1.285410279,"5939"
"1391","POLR1C",1.285187487,"9533"
"1392","CYP2J2",1.28495875,"1573"
"1393","RHOB",1.284874125,"388"
"1394","POLA1",1.284800602,"5422"
"1395","MIPEP",1.284502688,"4285"
"1396","ZFP82",1.283579415,"284406"
"1397","UBE2T",1.282966386,"29089"
"1398","LCMT1",1.282235604,"51451"
"1399","MESP1",1.282001975,"55897"
"1400","KRT23",1.281927753,"25984"
"1401","ANAPC1",1.281382478,"64682"
"1402","NEDD4",1.280373422,"4734"
"1403","DENND4C",1.27998659,"55667"
"1404","PSMD1",1.279383433,"5707"
"1405","C1QTNF3",1.278709356,"114899"
"1406","EVA1A",1.278618578,"84141"
"1407","ATPSCKMT",1.276595169,"134145"
"1408","TOM1L1",1.276594927,"10040"
"1409","EIF2A",1.276475645,"83939"
"1410","NME7",1.275661663,"29922"
"1411","ARMT1",1.275224033,"79624"
"1412","STK19",1.275105585,"8859"
"1413","PON3",1.27441346,"5446"
"1414","S100A9",1.27404342,"6280"
"1415","PCDHB18P",1.273487085,"54660"
"1416","LINC00261",1.272925182,"140828"
"1417","MAGEA8",1.270762898,"4107"
"1418","CTSZ",1.270657458,"1522"
"1419","SLC31A1",1.270436273,"1317"
"1420","SLC35A5",1.270114374,"55032"
"1421","NTN4",1.270073376,"59277"
"1422","TBK1",1.269053476,"29110"
"1423","EDF1",1.268334727,"8721"
"1424","LRIG1",1.267643397,"26018"
"1425","PPP2R1A",1.267548994,"5518"
"1426","PPM1H",1.266843945,"57460"
"1427","SDSL",1.26405403,"113675"
"1428","IAH1",1.26334892,"285148"
"1429","RAP1GAP2",1.26287529,"23108"
"1430","MGAT4A",1.262869198,"11320"
"1431","ARMCX5",1.262445447,"64860"
"1432","IL15RA",1.260473207,"3601"
"1433","SNHG29",1.259983176,"125144"
"1434","C3orf38",1.25946201,"285237"
"1435","OCRL",1.258582563,"4952"
"1436","NREP",1.257362921,"9315"
"1437","ANAPC10",1.256911677,"10393"
"1438","AARS1",1.25647953,"16"
"1439","RIBC1",1.255820923,"158787"
"1440","MICA",1.255236583,"100507436"
"1441","PHAX",1.25505994,"51808"
"1442","APOO",1.254642208,"79135"
"1443","NSRP1",1.254586934,"84081"
"1444","GNAI2",1.253828194,"2771"
"1445","FAM118B",1.253741058,"79607"
"1446","GRAMD2A",1.253427417,"196996"
"1447","TENT4B",1.252676228,"64282"
"1448","TMOD1",1.250776696,"7111"
"1449","SAP30L",1.249915851,"79685"
"1450","TRERF1",1.249833418,"55809"
"1451","SPRING1",1.249689753,"79794"
"1452","MAP4K3",1.249461418,"8491"
"1453","PRR5L",1.248842027,"79899"
"1454","RBM27",1.248270556,"54439"
"1455","HOXC-AS3",1.247156725,"100874365"
"1456","MYO1A",1.247091795,"4640"
"1457","TRAPPC6A",1.246820551,"79090"
"1458","SLC25A28",1.245639163,"81894"
"1459","METTL21A",1.245217719,"151194"
"1460","DPCD",1.245052238,"25911"
"1461","PHOSPHO2",1.244410063,"493911"
"1462","GADD45GIP1",1.243734239,"90480"
"1463","METTL8",1.24370223,"79828"
"1464","ATP6V0A2",1.243421088,"23545"
"1465","ALKBH5",1.243118664,"54890"
"1466","VAMP8",1.242590727,"8673"
"1467","GOLGA6A",1.242260443,"342096"
"1468","ACTR3B",1.241568003,"57180"
"1469","ZNF622",1.241416666,"90441"
"1470","NEK7",1.240968385,"140609"
"1471","FAM107B",1.240182395,"83641"
"1472","INPP1",1.240172477,"3628"
"1473","MIR22HG",1.239696606,"84981"
"1474","TMEM135",1.239252733,"65084"
"1475","FAIM",1.239222729,"55179"
"1476","TMEM45A",1.238844199,"55076"
"1477","PLA2G7",1.238735675,"7941"
"1478","DNA2",1.238028257,"1763"
"1479","RCBTB1",1.238025772,"55213"
"1480","PPP1R36",1.237583361,"145376"
"1481","DSP",1.237221224,"1832"
"1482","MAT2B",1.235930596,"27430"
"1483","GNPTG",1.235224057,"84572"
"1484","ZNF32",1.234826045,"7580"
"1485","PDXK",1.234751,"8566"
"1486","PDXK",1.234751,"8566"
"1487","ZNF18",1.234454591,"7566"
"1488","ITPKA",1.234170084,"3706"
"1489","PSTK",1.23351427,"118672"
"1490","ZSWIM9",1.233144299,"374920"
"1491","ZEB1",1.232754598,"6935"
"1492","GTF2A2",1.231798336,"2958"
"1493","SHLD1",1.231594811,"149840"
"1494","SGMS1",1.231583863,"259230"
"1495","ALKBH1",1.229951403,"8846"
"1496","NUDCD1",1.229766547,"84955"
"1497","CEP104",1.2293715,"9731"
"1498","SELENOM",1.228393412,"140606"
"1499","GABARAPL2",1.226229588,"11345"
"1500","SLC25A42",1.2256583,"284439"
"1501","TAMM41",1.224889671,"132001"
"1502","HPS5",1.224751905,"11234"
"1503","SGCE",1.224715902,"8910"
"1504","FKBP7",1.224176066,"51661"
"1505","SETD9",1.223402175,"133383"
"1506","MPZL3",1.22338383,"196264"
"1507","DNAAF5",1.223294546,"54919"
"1508","HAUS1",1.222950584,"115106"
"1509","SLC22A13",1.221007309,"9390"
"1510","NEURL1B",1.220794881,"54492"
"1511","SELENOF",1.220037914,"9403"
"1512","CALHM6",1.219805568,"441168"
"1513","SIRPD",1.21976254,"128646"
"1514","PAPSS1",1.217515061,"9061"
"1515","CTSV",1.216294615,"1515"
"1516","CD320",1.21562153,"51293"
"1517","PELI1",1.215146352,"57162"
"1518","GEMIN5",1.215054269,"25929"
"1519","ZFP69B",1.214353011,"65243"
"1520","RYBP",1.21376496,"23429"
"1521","CDC73",1.212822069,"79577"
"1522","PITPNC1",1.212270615,"26207"
"1523","DNLZ",1.212074658,"728489"
"1524","SESN1",1.211880939,"27244"
"1525","ETFA",1.210548908,"2108"
"1526","LINC01806",1.209966165,"100996579"
"1527","OSER1",1.209819796,"51526"
"1528","MAT1A",1.209481397,"4143"
"1529","SRSF12",1.208795592,"135295"
"1530","ZNF680",1.208767151,"340252"
"1531","PNPLA4",1.208542431,"8228"
"1532","TDP2",1.208215221,"51567"
"1533","GRAMD4",1.20644323,"23151"
"1534","ILDR1",1.205990161,"286676"
"1535","UFD1",1.205579448,"7353"
"1536","CFD",1.204419629,"1675"
"1537","CDO1",1.203578245,"1036"
"1538","MED29",1.203504588,"55588"
"1539","UBE2Q2",1.203027624,"92912"
"1540","RFTN2",1.202354311,"130132"
"1541","MOB1B",1.201151154,"92597"
"1542","TPRN",1.200212583,"286262"
"1543","TMEM35B",1.19964994,"100506144"
"1544","CYB561D2",1.199275668,"11068"
"1545","SNX14",1.198687625,"57231"
"1546","POMP",1.19854822,"51371"
"1547","ZNF254",1.198099663,"9534"
"1548","MECR",1.197660669,"51102"
"1549","NUDT7",1.196872779,"283927"
"1550","TRDMT1",1.196685056,"1787"
"1551","SNF8",1.19622531,"11267"
"1552","JOSD1",1.195558959,"9929"
"1553","LINC02047",1.194365593,"101927346"
"1554","BSCL2",1.19403061,"26580"
"1555","EZH1",1.193757925,"2145"
"1556","CYC1",1.192328003,"1537"
"1557","ATP11A",1.191828701,"23250"
"1558","CCDC77",1.191376517,"84318"
"1559","POLR3F",1.190790231,"10621"
"1560","TLE5",1.190153034,"166"
"1561","EXOSC9",1.189744029,"5393"
"1562","SOAT1",1.189212746,"6646"
"1563","MBTPS1",1.189121428,"8720"
"1564","TRMT6",1.18841846,"51605"
"1565","PPP1CA",1.185578945,"5499"
"1566","ENDOV",1.183559713,"284131"
"1567","CXorf38",1.18327881,"159013"
"1568","ZDHHC8",1.182879119,"29801"
"1569","TTC8",1.182741212,"123016"
"1570","MAP3K21",1.182483357,"84451"
"1571","IFI30",1.181703996,"10437"
"1572","RNF113A",1.1810124,"7737"
"1573","LEO1",1.180924248,"123169"
"1574","ALG9",1.180534399,"79796"
"1575","LIPT1",1.179401783,"51601"
"1576","MYEOV",1.177902949,"26579"
"1577","SOAT2",1.177438976,"8435"
"1578","HSD17B2",1.177431206,"3294"
"1579","LDHC",1.176714973,"3948"
"1580","ZSWIM6",1.175845974,"57688"
"1581","CDKN2AIPNL",1.175165186,"91368"
"1582","TBRG1",1.174818943,"84897"
"1583","PEBP1",1.174611045,"5037"
"1584","TMEM123",1.173399834,"114908"
"1585","MSANTD3",1.173325635,"91283"
"1586","CD14",1.170600789,"929"
"1587","NFKB2",1.168548008,"4791"
"1588","GMEB1",1.168042021,"10691"
"1589","PCDHB10",1.167917415,"56126"
"1590","SSB",1.163671763,"6741"
"1591","ARFGAP3",1.162122259,"26286"
"1592","SKI",1.1594228,"6497"
"1593","EFS",1.158819977,"10278"
"1594","ARL13B",1.158048327,"200894"
"1595","ZBTB49",1.157873981,"166793"
"1596","NEK6",1.156619167,"10783"
"1597","NUP155",1.156180921,"9631"
"1598","NTHL1",1.155259486,"4913"
"1599","MRPL58",1.154002466,"3396"
"1600","PSPH",1.153057952,"5723"
"1601","TRMT10A",1.150614607,"93587"
"1602","NDUFS7",1.148526995,"374291"
"1603","MRM2",1.141862341,"29960"
"1604","PRR5",1.137136843,"55615"
"1605","LEPROT",1.127705785,"54741"
"1606","ATP8B2",1.116792457,"57198"
"1607","SLC2A4RG",1.108626872,"56731"
"1608","PHF19",1.094591165,"26147"
"1609","TRAFD1",1.094322007,"10906"
"1610","RAB4B",1.089319441,"53916"
"1611","SHMT1",1.08772853,"6470"
"1612","WASHC2C",1.086635012,"253725"
"1613","RAB40B",1.086171872,"10966"
"1614","CALM3",1.086146289,"808"
"1615","HOXB9",1.075428372,"3219"
"1616","DHODH",1.073204936,"1723"
"1617","SPATA21",1.071222484,"374955"
"1618","CIRBP",1.069673717,"1153"
"1619","CYTH2",1.061395415,"9266"
"1620","GAK",1.052198349,"2580"
"1621","DOCK8",1.051190782,"81704"
"1622","MAZ",1.050324743,"4150"
"1623","BRD2",1.048662088,"6046"
"1624","RAD23A",1.042966177,"5886"
"1625","GANC",1.042927963,"2595"
"1626","CACTIN",1.040005929,"58509"
"1627","NIP7",1.039146991,"51388"
"1628","TXNL4B",1.032234489,"54957"
"1629","TIMM10B",1.031289691,"26515"
"1630","SH3KBP1",1.029652118,"30011"
"1631","LETM1",1.026012471,"3954"
"1632","LUC7L2",1.020584962,"51631"
"1633","CDYL2",1.017371148,"124359"
"1634","WASHC2A",1.015796991,"387680"
"1635","RGS16",1.015673265,"6004"
"1636","PTBP2",1.015118063,"58155"
"1637","TIMM22",1.014364606,"29928"
"1638","TRPV1",1.005495036,"7442"
"1639","CHST12",1.005360359,"55501"
